id,weight,zone,airmail_price,SAL_price,surface_price,created_at,last_modified
138,9000,4,25400,15600,5800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
139,9500,4,26600,17050,6250,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
140,10000,4,27800,17050,6250,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
141,11000,4,29400,18050,6600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
142,12000,4,31000,19050,6950,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
143,13000,4,32600,20050,7300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
144,14000,4,34200,21050,7650,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
145,15000,4,35800,22050,8000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
146,16000,4,37400,23050,8350,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
147,17000,4,39000,24050,8700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
148,18000,4,40600,25050,9050,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
149,19000,4,42200,26050,9400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
150,20000,4,43800,27050,9750,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
151,21000,4,45400,28050,10100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
152,22000,4,47000,29050,10450,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
153,23000,4,48600,30050,10800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
154,24000,4,50200,31050,11150,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
155,25000,4,51800,32050,11500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
156,26000,4,53400,33050,11850,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
157,27000,4,55000,34050,12200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
158,28000,4,56600,35050,12550,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
159,29000,4,58200,36050,12900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
160,30000,4,59800,37050,13250,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
