id,weight,zone,price,created_at,last_modified
145,7000,3,21400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
146,8000,3,23500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
147,9000,3,25600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
148,10000,3,27700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
149,11000,3,29800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
150,12000,3,31900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
151,13000,3,34000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
152,14000,3,36100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
153,15000,3,38200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
154,16000,3,40300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
155,17000,3,42400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
156,18000,3,44500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
157,19000,3,46600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
158,20000,3,48700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
159,21000,3,50800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
160,22000,3,52900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
161,23000,3,55000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
162,24000,3,57100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
163,25000,3,59200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
164,26000,3,61300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
165,27000,3,63400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
166,28000,3,65500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
167,29000,3,67600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
168,30000,3,69700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
